10.00	0.28	-0.02	1.08
20.00	0.28	0.01	1.08
30.00	0.30	0.02	1.09
40.00	0.28	-0.02	1.08
50.00	0.27	-0.01	1.07
60.00	0.24	-0.00	1.05
70.00	0.24	-0.02	1.07
80.00	0.22	-0.02	1.08
90.00	0.22	-0.03	1.07
100.00	0.22	-0.03	1.08
110.00	0.20	-0.03	1.09
120.00	0.21	-0.03	1.08
130.00	0.26	-0.03	1.08
140.00	0.23	-0.01	1.10
150.00	0.23	-0.03	1.07
160.00	0.23	-0.02	1.08
170.00	0.23	0.03	1.10
180.00	0.09	0.06	1.15
190.00	0.15	0.06	1.04
200.00	0.11	0.14	1.08
210.00	-0.13	0.21	1.05
220.00	-0.21	0.28	1.13
230.00	-0.08	0.10	1.01
240.00	-0.04	0.16	1.17
250.00	-0.17	-0.03	1.14
260.00	-0.01	-0.02	1.12
270.00	-0.04	0.06	1.09
280.00	-0.00	-0.01	1.16
290.00	-0.02	-0.05	1.09
300.00	0.06	-0.26	1.11
310.00	0.07	-0.03	1.04
320.00	-0.24	-0.22	1.02
330.00	-0.23	0.05	1.08
340.00	-0.28	-0.06	1.03
350.00	-0.32	-0.20	1.05
360.00	0.02	-0.27	1.23
370.00	-0.13	0.00	1.17
380.00	0.00	-0.41	1.09
390.00	-0.25	0.00	0.96
400.00	-0.37	-0.11	0.00
410.00	-0.36	0.00	0.94
420.00	-0.28	0.00	0.00
430.00	-0.24	0.11	0.00
440.00	-0.28	0.04	0.00
450.00	-0.29	0.15	1.08
460.00	-0.19	0.08	1.26
470.00	-0.26	-0.00	1.12
480.00	-0.26	0.04	1.15
490.00	-0.17	0.04	0.00
500.00	-0.23	-0.11	1.20
510.00	-0.36	-0.13	0.89
520.00	-0.32	0.17	0.89
530.00	-0.35	0.07	0.94
540.00	-0.48	-0.02	0.73
550.00	-0.43	0.34	1.00
560.00	-0.42	0.32	0.94
570.00	-0.46	0.23	0.98
580.00	-0.43	0.23	1.06
590.00	-0.37	0.38	1.08
600.00	-0.45	0.27	1.07
610.00	-0.46	0.22	0.00
620.00	-0.38	0.22	1.21
630.00	-0.34	0.33	1.17
640.00	-0.35	0.20	1.04
650.00	-0.28	0.03	1.16
660.00	-0.27	0.03	1.04
670.00	-0.26	0.16	1.00
680.00	-0.11	0.03	1.16
690.00	-0.17	-0.00	1.14
700.00	-0.14	0.06	1.07
710.00	-0.27	0.06	1.02
720.00	-0.27	-0.07	1.07
730.00	-0.33	-0.05	1.02
740.00	-0.46	0.18	0.88
750.00	-0.44	0.18	0.94
760.00	-0.44	0.03	0.98
770.00	-0.43	0.01	0.92
780.00	-0.48	0.06	0.85
790.00	-0.44	0.15	0.97
800.00	-0.41	0.02	1.08
810.00	-0.39	-0.07	1.09
820.00	-0.29	-0.05	1.22
830.00	-0.18	-0.03	1.28
840.00	-0.20	-0.22	1.03
850.00	-0.30	-0.34	0.69
860.00	-0.33	-0.12	0.82
870.00	-0.22	0.00	0.00
880.00	-0.27	-0.08	0.00
890.00	-0.26	-0.09	0.00
900.00	-0.07	-0.24	0.00
910.00	0.03	-0.33	0.52
920.00	-0.07	-0.39	0.00
930.00	-0.23	-0.21	0.79
940.00	-0.19	-0.01	0.98
950.00	-0.24	-0.10	0.95
960.00	-0.12	-0.20	1.26
970.00	0.12	-0.22	0.00
980.00	0.16	-0.36	1.21
990.00	0.01	-0.41	0.54
1000.00	0.07	-0.32	1.20
1010.00	-0.03	-0.47	1.08
1020.00	0.04	-0.19	1.07
1030.00	-0.06	-0.17	1.04
1040.00	-0.17	-0.19	1.03
1050.00	-0.27	0.04	1.06
1060.00	-0.34	0.11	1.07
1070.00	-0.39	-0.04	0.96
1080.00	-0.30	-0.06	0.96
1090.00	-0.16	-0.09	1.13
1100.00	-0.14	-0.26	1.18
1110.00	-0.14	-0.23	1.11
1120.00	-0.29	-0.02	0.95
1130.00	-0.38	-0.02	1.02
1140.00	-0.40	-0.02	0.79
1150.00	-0.28	0.15	1.24
1160.00	-0.28	0.07	1.15
1170.00	-0.32	0.03	1.11
1180.00	-0.27	0.06	1.25
1190.00	-0.25	0.15	1.28
1200.00	-0.32	0.00	1.19
1210.00	-0.32	-0.03	1.07
1220.00	-0.21	0.14	1.02
1230.00	-0.11	-0.05	1.07
1240.00	-0.28	-0.18	1.03
1250.00	-0.20	0.04	0.85
1260.00	-0.21	0.07	1.11
1270.00	-0.34	-0.02	0.97
1280.00	0.00	0.00	0.00
1290.00	-0.29	0.13	1.16
1300.00	-0.44	-0.03	1.18
1310.00	-0.19	-0.12	1.18
1320.00	0.05	-0.03	1.08
1330.00	-0.04	0.00	1.11
1340.00	-0.19	-0.17	0.00
1350.00	-0.22	0.00	0.94
1360.00	-0.20	0.03	0.00
1370.00	-0.28	-0.03	0.00
1380.00	-0.25	0.08	0.00
1390.00	-0.27	0.00	1.04
1400.00	-0.32	-0.03	1.08
1410.00	-0.24	-0.07	0.00
1420.00	-0.19	-0.05	1.05
1430.00	-0.22	-0.22	1.11
1440.00	-0.17	-0.23	1.08
1450.00	-0.09	-0.11	0.94
1460.00	-0.23	-0.16	0.97
1470.00	-0.38	-0.18	1.06
1480.00	-0.49	0.03	1.18
1490.00	-0.33	-0.25	1.14
1500.00	-0.14	-0.27	1.13
1510.00	-0.10	-0.27	1.33
1520.00	-0.13	-0.41	1.00
1530.00	-0.13	-0.29	0.93
1540.00	-0.19	-0.33	0.98
1550.00	0.01	0.00	1.24
1560.00	-0.00	-0.12	1.09
1570.00	-0.03	0.00	0.52
1580.00	-0.08	-0.12	0.00
1590.00	-0.00	0.00	0.53
1600.00	-0.21	0.00	0.00
1610.00	0.04	0.00	0.00
1620.00	0.00	0.00	0.00
1630.00	-0.11	-0.00	0.00
1640.00	0.11	0.00	0.00
1650.00	0.01	0.00	0.00
1660.00	0.15	0.00	0.00
1670.00	0.00	-0.14	0.00
1680.00	0.08	0.00	0.00
1690.00	-0.26	-0.33	0.00
1700.00	-0.18	-0.14	0.00
1710.00	-0.17	-0.32	0.00
1720.00	0.08	-0.34	1.18
1730.00	-0.07	-0.42	1.15
1740.00	-0.04	-0.46	0.00
1750.00	-0.13	-0.25	0.96
1760.00	0.00	-0.36	0.88
1770.00	-0.22	-0.19	0.95
1780.00	-0.25	-0.09	1.20
1790.00	-0.24	-0.28	1.20
1800.00	-0.17	-0.19	1.02
1810.00	-0.23	-0.16	0.00
1820.00	-0.29	-0.26	1.03
1830.00	-0.42	-0.24	0.00
1840.00	-0.21	0.08	1.23
1850.00	-0.41	-0.08	0.00
1860.00	-0.13	-0.08	0.00
1870.00	-0.10	-0.11	0.00
1880.00	-0.08	-0.28	0.55
1890.00	-0.22	-0.09	0.00
1900.00	-0.46	-0.08	0.00
1910.00	-0.34	0.15	0.00
1920.00	-0.19	0.11	1.14
1930.00	-0.23	0.08	1.33
1940.00	-0.35	0.07	1.27
1950.00	-0.29	0.02	1.38
1960.00	-0.10	0.08	1.42
1970.00	-0.13	-0.16	1.34
1980.00	0.07	-0.08	1.24
1990.00	0.00	-0.25	1.03
2000.00	0.00	-0.25	1.12
2010.00	0.04	0.00	0.80
2020.00	-0.07	-0.33	0.88
2030.00	-0.38	-0.06	1.03
2040.00	-0.32	0.02	0.00
2050.00	-0.37	-0.19	0.97
2060.00	-0.33	-0.08	0.00
2070.00	-0.16	-0.13	1.20
2080.00	-0.13	-0.41	1.21
2090.00	-0.11	-0.29	0.00
2100.00	-0.23	-0.19	1.04
2110.00	-0.37	-0.31	0.00
2120.00	-0.29	0.00	0.00
2130.00	-0.13	0.00	0.00
2140.00	0.00	0.00	0.00
2150.00	-0.08	0.00	0.00
2160.00	0.00	0.00	0.00
2170.00	0.00	-0.34	0.00
2180.00	-0.23	-0.18	0.00
2190.00	-0.01	0.00	0.00
2200.00	-0.02	0.00	0.50
2210.00	0.06	-0.51	0.00
2220.00	0.05	0.00	0.85
2230.00	0.00	-0.64	0.78
2240.00	-0.00	-0.51	0.00
2250.00	0.00	-0.00	0.00
2260.00	-0.03	-0.18	0.00
2270.00	0.00	-0.52	0.00
2280.00	0.00	0.00	1.10
2290.00	0.29	0.00	0.00
2300.00	0.00	-0.57	0.00
2310.00	0.00	0.00	0.00
2320.00	0.00	0.00	0.00
2330.00	0.15	0.00	0.00
2340.00	0.00	-0.35	0.00
2350.00	-0.30	-0.42	0.00
2360.00	-0.34	-0.16	0.00
2370.00	-0.15	-0.25	1.12
2380.00	0.04	-0.34	1.14
2390.00	-0.12	-0.45	1.28
2400.00	-0.13	-0.23	1.04
2410.00	-0.36	-0.24	0.63
2420.00	-0.32	-0.29	0.77
2430.00	-0.19	-0.11	1.36
2440.00	-0.09	0.03	1.41
2450.00	-0.11	-0.20	1.32
2460.00	0.00	-0.28	1.00
2470.00	-0.21	-0.11	0.79
2480.00	0.00	-0.23	0.58
2490.00	-0.13	-0.12	0.96
2500.00	-0.15	0.14	0.00
2510.00	0.00	0.00	1.26
2520.00	-0.03	0.00	1.31
2530.00	0.00	-0.03	0.92
2540.00	-0.04	0.00	0.50
2550.00	-0.11	0.00	0.00
2560.00	0.00	0.00	0.98
2570.00	-0.00	0.00	0.00
2580.00	-0.00	0.00	0.00
2590.00	-0.27	0.00	0.00
2600.00	-0.36	-0.15	0.00
2610.00	-0.15	-0.08	1.23
2620.00	-0.03	-0.12	0.00
2630.00	-0.24	-0.32	0.00
2640.00	-0.31	-0.02	0.96
2650.00	-0.23	0.02	0.98
2660.00	-0.37	-0.18	0.98
2670.00	-0.27	0.03	1.22
2680.00	0.04	-0.05	1.24
2690.00	0.00	-0.31	1.09
2700.00	-0.14	-0.19	1.25
2710.00	0.00	-0.24	0.00
2720.00	-0.13	0.00	0.52
